tx,destination_address,exchange,token_name,token_erc20,number_of_coins_transferred,utc_date_time_of_transfer,utc_date_of_transfer
0x767c0b637600c4d9b141e7b87c366b6ab4d59c2369ad8c791f3565c0ffa38046,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xbdd8c1a102c3647815274807b51d66cdb481df11b4962777b9d23f7b34b5a9e9,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xc159cf24960ae6637c0d552fa6d3a200f3520dbf2bd0f4a39dd1f3f5f159c5b4,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x5e102ad383cc1b9cbabc3a6fa643e93f1d16daac45ed8b568a4bbad2d948860c,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x3e9908c718339733862ffd0e45b5e6b828e56fd1a641400bc6c609d27723cf89,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,612, 24 Apr 2023 23:30:11 GMT,2023-04-24
0xd79ed67c56c78f80b07267468e012f35a177f02e1335a1880e742f90937923b4,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,584, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x575bf4a82253a6a32870273b61ead44a5373ad0acb86fff54a3d4c8f4714640e,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,197451, 24 Apr 2023 23:30:11 GMT,2023-04-24
0xede6079c9dbe68f296c18dd2ba8fc5f5160929c0d10599cf796043b8d29d028b,0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase: Commerce Fee 3,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x6bb2588d445a08dd956d072ea9893329513927bd4a5e857df323682acd6396a1,0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase: Commerce Fee 3,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x1cf4e06737d1f0847fd733deaae31fe284b3846851555a598696a0aeb8d5e246,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x58073c24fa7e0b0313c5851dcbe3621a178f2f1efd8316e8ffe465ba447c6271,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,5, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x539b074ad89cbe8001bd4bfa015daa5a1eeb1ea7b2482659259345bf56b5cae3,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,7, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x34d2130d5385407b5c56b601eaec17fe8cba643874fc446c6a108db1df9ed5c0,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:30:11 GMT,2023-04-24
0x0884730e4863d7c1f01cb9b066f8a7c0d7c85daa263fa726c096c605d99ef87d,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,56, 24 Apr 2023 23:30:11 GMT,2023-04-24
0xa54d431fc4687608b7beb1b483e75b7c452ab42102cd3e1e51cddd08d1af2063,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3, 24 Apr 2023 23:30:11 GMT,2023-04-24
